MODELE TELESCOPIQUE;DEPORT MINIMAL;DEPORT MAXIMAL
MANITOU ULM 412 H;0,5;2,12
MANITOU ULM 415 H;0,5;2,12
MANITOU MLT 625-75 H;0,5;2,8
MANITOU MLT 630-115 ;0,6;2,84
MANITOU MLT 630-115 V CP ;0,5;2,93
MANITOU MLT 635-130 PS+ ;0,5;2,7
MANITOU MLT 635-140 V+ ;0,5;2,7
MANITOU MLT 730-115 V ;1;3,75
MANITOU MLT 730-115 V CP ;0,9;3,85
MANITOU MLT 733-115 ;1;3,4
MANITOU MLT 737-130 PS+ ;0,55;3,4
MANITOU MLT 738-130 PS+ ;0,7;3,48
MANITOU MLT 741-130 PS+ (S1);0,55;3,4
MANITOU MLT 741-140 V+ (S1);0,55;3,4
MANITOU MLT 742-130 PS+ ;0,8;3,46
MANITOU MLT 742-140 V+ ;0,8;3,46
MANITOU MLT 841-145 PS+;0,8;3,95
MANITOU MLT 850-145 V+;0,9;4,1
MANITOU MLT 940-140 V+ ;0,75;6,05
MANITOU MLT 961-160 V+L;0,9;4,8
MANITOU MLT 1041-145 PS+L;0,65;6
MANITOU MLA-T 533-145 V+ - ST5;0,9;2,8
MANITOU MHT 790 ST5;0,5;3,1
MANITOU MT 420 H;0,55;2,15
MANITOU MT 625;0,55;2,9
MANITOU MT 730;0,7;3,5
MANITOU MT 735 75D ST5;0,55;3,4
MANITOU MT 930 H;0,7;5,5
MANITOU 935 75D ST5;0,55;5,9
MANITOU MT 1135;1;6,8
MANITOU MT 1335;1,05;8,25
MANITOU MT 1440;1,2;8,96
MANITOU MT 1840;1,2;8,96
JCB 525-60 Agri;0,52;2,8
JCB 530-60 Agri;0,55;3,27
JCB 532-60 Agri;0,65;2,8
JCB 532-70 Agri;0,75;3,22
JCB 536-95 Agri;0,7;6,05
JCB 538-60 Agri;0,6;2,84
JCB 538-70 Agri;0,7;3,23
JCB 542-70 Agri;0,7;3,26
JCB 546-70 Agri;0,7;3,2
JCB 555-70 Agri;0,7;3,2
JCB 560-80 Agri;0,8;3,98
JCB 525-60 ;0,65;3
JCB 531-70;0,65;3,2
JCB 533-105;0,9;6,44
JCB 535-95;0,6;6,02
JCB 535-125;0,9;7,56
JCB 540-140;1,6;9,2
JCB 540-170;1,25;8,54
JCB 540-180;1,5;9,6
JCB 540-200;1,65;9,13
JCB 541-70;0,65;3,2
JCB 542-100;0,6;6,22
JCB 560-80;0,8;3,98
MERLO TF27.6;0,4;2,8
MERLO TF 30.7;0,65;3,2
MERLO TF30.9;0,45;5,2
